,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
3655, Abha Private Hospital Building King Abdulaziz Street 1794 Saudi Arabia Abha 61431 ,Ownership and operation of a general hospital.,Saudi Arabia,2000, Also known as: APH Last updated on: 14 January 2019 ,Abha Private Hospital ,850,Private,Health Care,"Tel: +966 17-229-2222,Fax: +966 17-224-4801,Email: info@aph.med.sa,www.aph.med.sa,"
3656, Dr. Erfan & Bagedo General Hospital King Fahad Street 6519 Saudi Arabia Jeddah 21452 ,Ownership and operation of a general hospital.,Saudi Arabia,1981, Also known as: EBGH Last updated on: 29 March 2019 ,Dr. Erfan & Bagedo General Hospital ,2250,Private,Health Care,"Tel: +966 12-603-8888,Fax: +966 12-691-7747,Email: webmaster@ebgh.sa,www.ebgh.med.sa,"
3657, Dr. Abdul Rahman Al Mishari Hospital Al Olaya Street Al Olaya District 56929 Saudi Arabia Riyadh 11564 ,Ownership and operation of a general hospital.,Saudi Arabia,1987," Also known as: AMH, ARMH, Al-Mishari Hospital Last updated on: 22 October 2018 ",Dr. Abdul Rahman Al-Mishari Hospital ,398,Private,Health Care,"Tel: +966 11-465-7700,Fax: +966 11-462-5040,Email: info@al-mishari.com.sa,"
3658, Jeddah Hilton Hotel North Corniche Road 128428 Saudi Arabia Jeddah 21362 ,Ownership and operation of a hotel.,Saudi Arabia,2001, Also known as: Jeddah Hilton Last updated on: 17 September 2018 ,Jeddah Hilton Hotel ,500,Private,Leisure and Tourism,"Tel: +966 92-000-3800,Fax: +966 12-659-1111,Email: reservations.jeddah@hilton.com,"
3659, Madinah Marriott Hotel King Faisal Street Ambria Area 25711 Saudi Arabia Medina 41476 ,Ownership and operation of a hotel.,Saudi Arabia,2002, Also known as: Madinah Marriott Last updated on: 15 October 2018 ,Madinah Marriott Hotel ,50,Private,Leisure and Tourism,"Tel: +966 14-818-0000,Fax: +966 14-819-2030,Fax: +966 14-819-2048,Email: madinah@marriott.com,"
3660, Saudi Arabia Jeddah,Provides medical and surgical health care services,Saudi Arabia,1990, Also known as: Dr Bakhsh Hospital Last updated on: 25 January 2016 ,Doctor Abdulrahman Taha Bakhsh Hospital - East Highway (dissolved),-,Private,Health Care,
3661, Royal Commission Hospital of Jubail Building Al Lulu Street Jubail Industrial Area 10001 Saudi Arabia Jubail 31961 ,Ownership and operation of a clinics and hospitals.,Saudi Arabia,1984, Also known as: RCH Last updated on: 30 November 2017 ,Royal Commission Hospital of Jubail ,5000,Government,Health Care,"Tel: +966 13-346-4000,Fax: +966 13-346-1047,Email: info@fh.med.sa,www.rchsp.med.sa,"
3662, Al-Jazea Group Building Al Dabab Street Al Murabba District 16793 Saudi Arabia Riyadh 11474 ,"Holding company with interests in civil contracting for infrastructure projects; real estate property investment and development; ownership and operation of wheat farms; manufacture of iron products including doors, windows, closets, stairs and other products, polyethylene pipes, construction chemicals including concrete additive mixtures, high performance water proofing systems, grouting material, superior epoxy mortars, surface treatment materials, pipe fittings and valves; distribution of safety wear, power tools, consumer tools and hand tools; ownership and operation of pharmacies.",Saudi Arabia,1977," Also known as: Al Jazea, Al-Jazea Last updated on: 31 December 2018 ",Al-Jazea Group ,,Private,Construction,"Tel: +966 11-498-1919,Tel: +966 11-404-2985,Tel: +966 11-403-2471,Fax: +966 11-405-9325,Email: info@al-jazea.com.sa,www.al-jazea.com.sa,"
3663, Jamjoom Commercial Center Palestine Street Al Hamra Area 5091 Saudi Arabia Jeddah 21422 ,Ownership and management of a shopping mall.,Saudi Arabia,1989, Also known as: Jamjoom Last updated on: 21 January 2019 ,Jamjoom Commercial Center ,20,Private,Real Estate,"Tel: +966 12-664-1111,Tel: +966 12-665-2777,Fax: +966 12-665-5044,"
3664, King Saud University Building Badran Al Omar Street 2454 Saudi Arabia Riyadh 11451 ,"Ownership and operation of a university.Through its main subsidiaries; ownership and operation of hospitals; provides research services for chemicals technologies and materials, biological, agricultural, environmental, information and communications technologies; direct investments in the technology sector.",Saudi Arabia,1957, Also known as: KSU Last updated on: 10 December 2018 ,King Saud University ,11000,Government,Education,"Tel: +966 11-467-0000,Fax: +966 11-467-7580,Email: info@ksu.edu.sa,www.ksu.edu.sa,"
3665, Addar Group Building Wadi Al Artawi Street Al Olaya Area 285121 Saudi Arabia Riyadh 11323 ,"Holding company with interests in distribution of general chemicals including fertilizers, paints, coatings, adhesives, detergents, water treatment chemicals and waterproof coatings; provides consultancy services for the oil, gas and electricity sectors; distribution of oil and gas equipment; offers information technology consultancy and outsourcing services; direct investment in the chemical sector; repair and maintenance services.",Saudi Arabia,1999, Also known as: Addar Last updated on: 18 December 2018 ,Addar Group ,,Private,Industrial Manufacturing,"Tel: +966 11-464-3879,Fax: +966 11-464-0941,Email: info@arab-house.com,www.addargroup.com,"
3666, Al Yamamah University King Fahad Road Al Qairawan Area 45180 Saudi Arabia Riyadh 11512 ,Ownership and operation of a university.,Saudi Arabia,2001," Also known as: Al Yamamah, YU Last updated on: 30 November 2018 ",Al Yamamah University ,400,Private,Education,"Tel: +966 11-224-2222,Fax: +966 11-260-1111,Fax: +966 11-485-7613,Email: info@yu.edu.sa,www.yu.edu.sa,"
3667, Al Yamamah University King Fahad Road Al Qairawan Area 45180 Saudi Arabia Riyadh 11512 ,Ownership and operation of a university.,Saudi Arabia,2001," Also known as: Al Yamamah, YU Last updated on: 30 November 2018 ",Al Yamamah University ,400,Private,Education,"Tel: +966 11-224-2222,Fax: +966 11-260-1111,Fax: +966 11-485-7613,Email: info@yu.edu.sa,www.yu.edu.sa,"
3668, Al Jumaia Building King Fahed Road Office 1 Al Mhamadiya Area 5000 Saudi Arabia Riyadh 12361 6858 ,"Provides investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting.",Saudi Arabia,2005, Also known as: CSSA Last updated on: 29 August 2018 ,Credit Suisse Saudi Arabia ,-,Private,Financial Services,"Tel: +966 11-203-9700,Fax: +966 11-203-9791,Email: contact.saudi@credit-suisse.com,https://www.credit-suisse.com/sa,"
3669, Le Meridien Medina Khaled Bin El Waleed Road 1735 Saudi Arabia Medina 41441 ,Ownership and operation of a hotel.,Saudi Arabia,1979, Last updated on: 21 January 2019 ,Le Meridien Medina ,182,Government,Leisure and Tourism,"Tel: +966 14-846-0777,Fax: +966 14-846-0385,Email: reservations.01889@starwoodhotels.com,"
3670, Le Dar Building King Fahad Road 6th Floor 59683 Saudi Arabia Riyadh 11535 ,Provides direct investments in various sectors.,Saudi Arabia,1982, Also known as: DMHI Last updated on: 10 September 2018 ,Development and Management House for Investment Company ,10,Private,Financial Services,"Tel: +966 11-462-2423,Tel: +966 11-207-9982,Fax: +966 11-462-4878,"
3671, Arabian Trading Company for Cold Storage Building Hasan Hasaneen Street Ghouliz Area 1393 Saudi Arabia Jeddah 21431 ,"Distribution of general food products including dairy, diet food, fruits and vegetables products; provides warehousing and storage services.",Saudi Arabia,1964, Last updated on: 11 March 2019 ,Arabian Trading Company for Cold Storage ,160,Private,Food and Beverages,"Tel: +966 12-637-1239,Tel: +966 12-636-4262,Fax: +966 12-636-3687,"
3672, Alireza Delta Transport Co. Ltd. Building Dammam Port Area 4209 Saudi Arabia Dammam 31491 ,Provides local truck transportation services for industrial products; provides warehousing and storage services; provides seaport cargo handling services.,Saudi Arabia,1978, Also known as: ADTC Last updated on: 19 July 2019 ,Alireza Delta Transport Co. Ltd. ,200,Private,Transport,"Tel: +966 13-847-4999,Fax: +966 13-814-1222,Email: info@alirezadelta.com.sa,"
3673, Moudayfer Building Alfarazdag Street 1st Floor Alaamal District 1378 Saudi Arabia Riyadh 11431 ,Provides freight forwarding services.,Saudi Arabia,1953, Last updated on: 09 October 2018 ,Mohamed Moudayfer and His Brothers Company ,300,Private,Transport,"Tel: +966 11-405-3311,Fax: +966 11-405-8478,Email: info@moudayfer.com,www.moudayfer.com,"
3674, Business Gate Building C4 King Khalid International Airport Street 1st Floor 7648 Saudi Arabia Riyadh 11472 ,"Distribution of industrial, electrical, oil and gas machinery, equipment and spare parts, vessels, pipes, pumps, and valves; provides engineering consultancy, procurement and construction management services. Through its main subsidiaries; it provides manufacture of oil and gas rotating equipment; provides business consulting services.",Saudi Arabia,1977," Also known as: SADC, SADCO Last updated on: 31 January 2019 ",Saudi Arabian Development Company Limited ,62,Private,Industrial Manufacturing,"Tel: +966 11-477-9464,Tel: +966 11-478-1459,Fax: +966 11-477-5853,Email: info@sadco.com,www.sadco.com,"
3675, Sulzer Saudi Pump Building New Al Kharj Road Riyadh Industrial Area 2 51737 Saudi Arabia Riyadh 11553 ,"Manufacture and maintenance of pumps, valves, lube oil systems and fluid control equipment; steel and iron machine parts; provides electromechanical contracting.",Saudi Arabia,1987, Also known as: SSPC Last updated on: 30 April 2019 ,Sulzer Saudi Pump Company LLC ,165,Foreign,Industrial Manufacturing,"Tel: +966 11-265-2123,Fax: +966 11-265-1071,Email: sspc@sulzer.com,"
3676, ZP Arabia Drilling Company Limited Building Prince Salman Street Al Olaya Area 4389 Saudi Arabia Al Khobar 31592 ,"Provides oil and gas well drilling services; oilfield services including cementing, logging, work over, surveying, shooting and cleaning out services.",Saudi Arabia,2000, Also known as: ZPADC Last updated on: 28 February 2018 ,ZP Arabia Drilling Company Limited ,500,Foreign,Oil and Gas,"Tel: +966 13-895-5985,Fax: +966 13-895-5986,Email: saudi@zpebint.com,"
3677, Fluor Arabia Building Dammam Highway 6th Floor 2589 Saudi Arabia Al Khobar 31952 ,Drilling of crude oil and natural gas.,Saudi Arabia,1997, Also known as: DPS Last updated on: 31 March 2019 ,Drilling & Petroleum Services Company Limited ,,Foreign,Oil and Gas,"Tel: +966 13-882-5089,Fax: +966 13-882-5164,Email: dpsco@sahara.com.sa,"
3678, Sara Development Company Building 27 King Khalid International Airport Road Al Olaya District 43229 Saudi Arabia Riyadh 11561 ,Provides direct investments in the industrial manufacturing sector.,Saudi Arabia,1955, Last updated on: 30 November 2018 ,Sara Development Company ,10,Private,Industrial Manufacturing,"Tel: +966 11-463-6322,Tel: +966 11-463-6363,Fax: +966 11-463-6300,"
3679, Sara Development Company Building 27 King Khalid International Airport Road Al Olaya District 43229 Saudi Arabia Riyadh 11561 ,Provides direct investments in the industrial manufacturing sector.,Saudi Arabia,1955, Last updated on: 30 November 2018 ,Sara Development Company ,10,Private,Industrial Manufacturing,"Tel: +966 11-463-6322,Tel: +966 11-463-6363,Fax: +966 11-463-6300,"
3680, Saudi Research and Publishing Company Building 478 Saudi Arabia Riyadh 11411 ,Publishing of newspapers and magazines.,Saudi Arabia,1972, Also known as: SRPC Last updated on: 30 April 2019 ,Saudi Research and Publishing Company ,300,Private,Media,"Tel: +966 11-212-8000,Fax: +966 11-212-1764,Email: info@srpc.com,www.srpc.com,"
3681, Abdulhadi Abdullah Al Qahtani & Sons Beverage Industry Ltd. Building Abha Khamis Street Asir Area 1120 Saudi Arabia Khamis Mushait,"Bottling of carbonated soft drinks; distribution of juices, mineral water, ice tea and nonalcoholic beer.",Saudi Arabia,1982, Also known as: AQS Last updated on: 21 September 2018 ,Abdulhadi Abdullah Al Qahtani & Sons Beverage Industry Ltd. ,750,Private,Food and Beverages,"Tel: +966 17-227-0160,Fax: +966 17-227-1037,"
3682, Saudi Arabia Riyadh,"Provides direct investment in various sectors; private equity investments; asset management services including fund, wealth and portfolio management.",Saudi Arabia,1996," Also known as: ACIC, Al Azizia Last updated on: 25 January 2016 ",Al Azizia Commercial Investment Company (dissolved),-,Private,Financial Services,
3683, Al Mukmal Plaza Palestine Street 5th Floor Al Hamra District 52972 Saudi Arabia Jeddah 21573 ,"Provides investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting.",Saudi Arabia,2008," Also known as: BMG, BMG Group Last updated on: 21 August 2018 ",BMG Financial Group ,25,Private,Financial Services,"Tel: +966 12-668-1777,Fax: +966 12-668-1888,Email: info@bmg.com.sa,www.bmg.com.sa,"
3684, Saudi Arabia Riyadh,Ministry that overlooks the power and water sector in Saudi Arabia.,Saudi Arabia,N/A, Also known as: MOWE Last updated on: 12 May 2016 ,Ministry of Water & Electricity (dissolved),-,Government,Governmental Institutions,
3685, Al Hadhab Trading & Contracting Company Building Al Diyar Street Ghurnatah District 101585 Saudi Arabia Riyadh 11665 ,Provides civil contracting for infrastructure projects.,Saudi Arabia,1996, Also known as: Al Hadhab Contracting Last updated on: 26 May 2019 ,Al Hadab Trading and Contracting Company ,400,Private,Construction,"Tel: +966 11-249-8383,Fax: +966 11-248-4131,"
3686, King Saud Street Al Khalidiya Area 381 Saudi Arabia Najran,Provides civil contracting for commercial and residential building projects.,Saudi Arabia,, Last updated on: 22 March 2019 ,Asalat Al Jazira General Contracting ,-,Private,Construction,"Tel: +966 17-523-3090,Fax: +966 17-523-3090,"
3687, Abdul Wahed H. A. Al-Mualim Co. & Partners Building Street 9 Al Althama Area 6413 Saudi Arabia Dammam Dammam 74048 ,Provides civil contracting for commercial and residential building projects.,Saudi Arabia,1987, Also known as: Moalim Co Last updated on: 01 February 2018 ,Abdul Wahed H. A. Al-Mualim Co. & Partners ,50,Private,Construction,"Tel: +966 13-826-4314,Fax: +966 13-826-2203,Email: moalimco@moalimco.com,www.moalimco.com,"
3688, Al Majal Al Arabi building Raghba Street 2nd floor Al Worood District Saudi Arabia Riyadh 92833 ,Provides civil contracting for commercial and residential buildings.,Saudi Arabia,2003, Last updated on: 21 January 2019 ,Al Faris Alabiyad ,300,Private,Construction,"Tel: +966 11-205-1570,Fax: +966 11-205-6161,"
3689, Ghatoof Establishment for Contracting and Trading Building King Fahad Road Dreras Area 5819 Saudi Arabia Buraydah,Provides civil contracting for infrastructure and buildings projects; distribution of construction machinery including cranes and forklifts.,Saudi Arabia,1993, Last updated on: 19 July 2019 ,Ghatoof Establishment for Contracting and Trading ,150,Private,Construction,"Tel: +966 16-328-1199,Fax: +966 16-328-0992,"
3690," Galleria Building King Faisal Street 2nd Floor, Office 203 and 204 Al Khobar North District 30140 Saudi Arabia Al Khobar 31952 ",Distribution of medical supplies and medical equipments.,Saudi Arabia,1996, Also known as: Nassaq Last updated on: 21 June 2019 ,Nassaq Enterprise ,100,Private,Health Care,"Tel: +966 13-893-0395,Tel: +966 13-893-0398,Fax: +966 13-893-0396,Email: sales@nassaq.com,www.nassaq.com,"
3691, Al Zaid Engineering Consultants Building Al Tahlia Street Sulaimaniyah District 20179 Saudi Arabia Riyadh 11455 ,Provides engineering consultancy and architectural services.,Saudi Arabia,1981, Also known as: ZEC Last updated on: 16 April 2019 ,Al-Zaid Engineering Consultants ,50,Private,Construction,"Tel: +966 11-463-3330,Fax: +966 11-464-3571,Email: info@zec.com.sa,www.zec.com.sa,"
3692, Alesayi Plaza Medinah Street 7th Floor Al Baghdadiyah Area 3035 Saudi Arabia Jeddah 21471 ,"Distribution of consumer electronics and home appliances including color television, digital video disc players, home cinema systems, video cassette recorders, camcorders, digital cameras, refrigerator, microwaves, ovens, washing machine, vacuum cleaner and kitchen appliances.",Saudi Arabia,1998, Also known as: Alesayi Electronic Last updated on: 29 March 2019 ,Alesayi Electronics Co. Ltd. ,100,Private,Consumer Goods,"Tel: +966 12-644-8282,Tel: +966 12-644-2322,Fax: +966 12-604-1111,Fax: +966 12-644-6633,Fax: +966 12-644-8181,Email: info@alesayi-electronics.com,"
